idx,company,address,tax1,tax2,tax3,website,lat,lng
1,Mighty Pipeline,"Anchorage, AK",Hydrogen,Generation/Transmission,Oil and Gas,https://www.launchalaska.com/2021-cohort,,
2,H2GO Power,"London, UK",Hydrogen,Storage/Batteries,,https://www.h2gopower.com/,,
3,Tagup,"Boston, Mass",IoT/IIoT,Built Environment/Construction,Evaluation/Compliance,http://tagup.io/,,
4,Sila Nanotechnologies,"Alameda, CA",Storage/Batteries,Materials,,https://www.silanano.com/,,
5,Smart Wires,"Norham, NC",Utility/Grid,IoT/IIoT,Enabling Technologies/Components,https://www.smartwires.com/,,
6,Sentient Energy,"Frisco, TX",Utility/Grid,Solar,IoT/IIoT,https://www.sentientenergy.com/,,
7,Prosumer Grid,"Brookhaven, GA",Utility/Grid,Generation/Transmission,IoT/IIoT,https://prosumergrid.com/,,
8,GridBlock,"Atlanta, GA",Utility/Grid,Enabling Technologies/Components,Generation/Transmission,https://www.gridblock.com/,,
9,TurbineLogic,"Atlanta, GA",Generation/Transmission,Utility/Grid,IoT/IIoT,https://turbinelogic.com/,,
10,DBE Hytec Ltd,"College Station, TX",Water/Wave/Hydro,Enabling Technologies/Components,Environmental Remediation,https://dbe-rsl.com/,,
11,ZOLA Electric,"Amsterdam, North Holland",IoT/IIoT,Energy Systems/Management,Storage/Batteries,https://zolaelectric.com/,,
12,Menlo Micro,"Albany, New York",Generation/Transmission,Enabling Technologies/Components,,https://menlomicro.com/,,
13,SLS Energy,"Kigali City, Rwanda",Storage/Batteries,Circular Economy,,https://www.slsenergy.io/,,
14,Virridy,"Boulder, Colorado",Enabling Technologies/Components,IoT/IIoT,Water/Wave/Hydro,https://virridy.com/,,
15,Reduzer,"Oslo, Norway",IoT/IIoT,Built Environment/Construction,Carbon/CCUS,https://reduzer.com/home,,
16,Dynami Battery,"Binghamton, New York",Storage/Batteries,Enabling Technologies/Components,Chemistry,https://www.dynami-battery.com/,,
17,Aerovy Mobility,"West Lafayette, IN",Transportation/MaaS,Power Electronics,IoT/IIoT,https://aerovymobility.com/?_ga=2.158950202.1047863680.1686000898-292926562.1670957240,,
18,Windlift,"Durham, NC",Wind,Generation/Transmission,,https://windlift.com/,,
19,Terrafore Technologies,MN,Storage/Batteries,Energy Efficiency,Energy Systems/Management,https://terraforetechnologies.com/,,
20,Brekland,NY,Ag/Food-tech,Materials,,https://www.linkedin.com/company/brekland/,,
